08241: External trade in commodities. Indices of volume and price (2000=100), by imports/exports, quarter and contents;;
;;
imports/exports;quarter;Volume index
Imports;1989K1;45.1
Imports;1989K2;48.9
Imports;1989K3;43.8
Imports;1989K4;49.9
Imports;1990K1;51.3
Imports;1990K2;53.2
Imports;1990K3;47.5
Imports;1990K4;54.5
Imports;1991K1;49.8
Imports;1991K2;55.5
Imports;1991K3;48.5
Imports;1991K4;57.2
Imports;1992K1;55.0
Imports;1992K2;53.7
Imports;1992K3;53.6
Imports;1992K4;56.3
Imports;1993K1;52.5
Imports;1993K2;52.3
Imports;1993K3;54.2
Imports;1993K4;60.5
Imports;1994K1;59.3
Imports;1994K2;61.2
Imports;1994K3;65.5
Imports;1994K4;67.8
Imports;1995K1;66.7
Imports;1995K2;69.3
Imports;1995K3;66.2
Imports;1995K4;73.8
Imports;1996K1;73.1
Imports;1996K2;72.3
Imports;1996K3;74.1
Imports;1996K4;84.2
Imports;1997K1;74.9
Imports;1997K2;85.4
Imports;1997K3;79.9
Imports;1997K4;91.2
Imports;1998K1;92.5
Imports;1998K2;92.1
Imports;1998K3;89.4
Imports;1998K4;100.2
Imports;1999K1;93.0
Imports;1999K2;91.7
Imports;1999K3;88.0
Imports;1999K4;103.1
Imports;2000K1;95.0
Imports;2000K2;97.7
Imports;2000K3;98.1
Imports;2000K4;109.2
Imports;2001K1;101.9
Imports;2001K2;102.7
Imports;2001K3;97.1
Imports;2001K4;108.4
Imports;2002K1;98.6
Imports;2002K2;105.9
Imports;2002K3;100.6
Imports;2002K4;110.7
Imports;2003K1;105.6
Imports;2003K2;106.0
Imports;2003K3;102.4
Imports;2003K4;113.7
Imports;2004K1;112.7
Imports;2004K2;117.6
Imports;2004K3;117.6
Imports;2004K4;126.5
Imports;2005K1;116.5
Imports;2005K2;132.7
Imports;2005K3;129.7
Imports;2005K4;140.3
Imports;2006K1;137.6
Imports;2006K2;143.6
Imports;2006K3;136.1
Imports;2006K4;156.2
Imports;2007K1;152.1
Imports;2007K2;153.8
Imports;2007K3;148.5
Imports;2007K4;173.1
Imports;2008K1;155.7
Imports;2008K2;165.9
Imports;2008K3;159.1
Imports;2008K4;152.4
Imports;2009K1;134.6
Imports;2009K2;135.3
Imports;2009K3;137.8
Imports;2009K4;149.5
Imports;2010K1;140.1
Imports;2010K2;151.1
Imports;2010K3;148.4
Imports;2010K4;157.3
Imports;2011K1;158.3
Imports;2011K2;154.4
Imports;2011K3;151.7
Imports;2011K4;163.4
Imports;2012K1;152.6
Imports;2012K2;159.5
Imports;2012K3;158.2
Imports;2012K4;165.1
Imports;2013K1;150.1
Imports;2013K2;162.1
Imports;2013K3;162.2
Imports;2013K4;163.0
Imports;2014K1;154.8
Imports;2014K2;159.0
Imports;2014K3;164.4
Imports;2014K4;164.6
Imports;2015K1;159.7
Imports;2015K2;162.4
Imports;2015K3;157.9
Imports;2015K4;169.4
Imports;2016K1;153.3
Imports;2016K2;163.3
Imports;2016K3;183.9
Imports;2016K4;163.5
Imports;2017K1;161.9
Imports;2017K2;188.6
Imports;2017K3;165.0
Imports;2017K4;191.7
Imports;2018K1;171.1
Imports;2018K2;188.4
Imports;2018K3;171.3
Imports;2018K4;183.7
Imports;2019K1;181.3
Imports;2019K2;181.8
Imports;2019K3;179.9
Imports;2019K4;174.4
Imports;2020K1;173.5
Imports;2020K2;160.6
Imports;2020K3;175.5
Imports;2020K4;183.4
Imports;2021K1;167.3
Imports;2021K2;187.9
Imports;2021K3;183.2
Imports;2021K4;191.8
Imports;2022K1;176.7
Imports;2022K2;184.1
Imports;2022K3;183.2
Imports;2022K4;194.7
Imports;2023K1;175.6
Imports;2023K2;178.5
Imports;2023K3;165.4